idx,label,ts_utc,workload,module,policy,depth,prefetch,L,W,fast,trace_faults,wall_s,exit_code,srcversion,mem_before_kb,mem_after_kb,disk_free_gb,dmesg_new_lines,batch_records,decomp_records,ft_fast_verified,ft_fast_nranges,ft_fast_verify_ns,demand_faults,enqueued,processed,drops,spec_hits,spec_migrations,ft_predictions,ft_skipped,ft_held,ft_unknown_page,ft_exhausted,fault_already_resident,trace_pushes,trace_overwrites,ft_same_region,spec_region_invalid,spec_pages_requested,ft_fast_cas_giveup
1,stencil C0-t51,2026-09-26T07:58:07Z,stencil,new,0,0,1,,1,0,0,1.235688,0,33FD42E6E16B0A6658E2BEB,61323476,61091424,37.8,0,6055,6055,0,0,0,342649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,stencil C7W512-t51,2026-09-26T07:58:10Z,stencil,new,6,1,1,4096,512,1,0,1.068519,0,33FD42E6E16B0A6658E2BEB,61331868,61101760,37.8,0,3452,3452,1,2,143377174,199504,2198,2198,0,1382,1694,199504,924932,0,0,0,24090,0,0,197306,0,866952,0
3,stencil C7W512-toff,2026-09-26T07:58:15Z,stencil,new,6,1,1,4096,512,1,0,3.693219,0,33FD42E6E16B0A6658E2BEB,61341448,61095344,37.8,0,73130,73130,1,2,141662101,2977545,2199,2199,0,2198,2198,1124998,2,1841307,0,11240,1124488,0,0,1122799,0,1125000,0
4,stencil C0-t75,2026-09-26T07:58:18Z,stencil,new,0,0,1,,1,0,0,1.263753,0,33FD42E6E16B0A6658E2BEB,61341352,61097380,37.7,0,10325,10325,0,0,0,473320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,stencil C7W512-t75,2026-09-26T07:58:20Z,stencil,new,6,1,1,4096,512,1,0,1.133196,0,33FD42E6E16B0A6658E2BEB,61277220,61029180,37.7,0,4219,4219,1,2,142380043,213000,2198,2198,0,1389,1744,213000,911438,0,0,0,23249,0,0,210802,0,892552,0
6,stencil C0-toff,2026-09-26T07:58:26Z,stencil,new,0,0,1,,1,0,0,4.693904,0,33FD42E6E16B0A6658E2BEB,61325408,61086744,37.7,0,74963,74963,0,0,0,2924430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,stencil C0-t51,2026-09-26T07:58:29Z,stencil,new,0,0,1,,1,0,0,1.119232,0,33FD42E6E16B0A6658E2BEB,61362760,61164440,37.7,0,6037,6037,0,0,0,335177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,stencil C7W512-t75,2026-09-26T07:58:32Z,stencil,new,6,1,1,4096,512,1,0,1.112522,0,33FD42E6E16B0A6658E2BEB,61385524,61125572,37.7,0,4323,4323,1,2,141544872,217596,2198,2198,0,1345,1711,217596,906848,0,0,0,22561,0,0,215398,0,875656,0
9,stencil C0-toff,2026-09-26T07:58:38Z,stencil,new,0,0,1,,1,0,0,4.671225,0,33FD42E6E16B0A6658E2BEB,61321396,61165720,37.7,0,74919,74919,0,0,0,2924813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,stencil C7W512-toff,2026-09-26T07:58:43Z,stencil,new,6,1,1,4096,512,1,0,3.699483,0,33FD42E6E16B0A6658E2BEB,61354104,61100096,37.7,0,72549,72549,1,2,143116622,3002236,2199,2199,0,2198,2198,1124998,2,1866158,0,11080,1124488,0,0,1122799,0,1125000,0
